ACC,AUC,F-1,MCC,Prec,Sens,Spec,Thres
0.9005847953216374,0.6995967741935484,0.41379310344827586,0.362432590862418,0.46153846153846156,0.375,0.9548387096774194,0.7145752989787745
0.5087719298245614,0.6161290322580646,0.20754716981132074,0.10371677038348892,0.12222222222222222,0.6875,0.49032258064516127,0.17128596710827002
0.5555555555555556,0.6991935483870968,0.24,0.16630608804653296,0.14285714285714285,0.75,0.535483870967742,0.25672022458214633
0.6608187134502924,0.6616935483870968,0.23684210526315785,0.14246743612999507,0.15,0.5625,0.6709677419354839,0.24062408855516462
0.695906432748538,0.7482811306340718,0.3157894736842105,0.25220613686036225,0.2033898305084746,0.7058823529411765,0.6948051948051948,0.45620520739062104
0.7134502923976608,0.7814516129032258,0.3098591549295775,0.25165055799072084,0.2,0.6875,0.7161290322580646,0.3594356670271753
0.6140350877192983,0.5778225806451613,0.1951219512195122,0.07525963995362249,0.12121212121212122,0.5,0.6258064516129033,0.3305183030275596
0.8011695906432749,0.6548387096774193,0.26086956521739135,0.16857633925054027,0.2,0.375,0.8451612903225807,0.40371207546056714
0.8713450292397661,0.7189516129032258,0.38888888888888884,0.3204573828172688,0.35,0.4375,0.9161290322580645,0.6631546627675736
0.7602339181286549,0.6695951107715813,0.30508474576271183,0.21905321272026804,0.21428571428571427,0.5294117647058824,0.7857142857142857,0.5099200171184516
0.49707602339181284,0.6479838709677419,0.2181818181818182,0.12934374422348097,0.1276595744680851,0.75,0.47096774193548385,0.19995114027118108
0.6783625730994152,0.7838709677419355,0.3209876543209877,0.28618659878548924,0.2,0.8125,0.6645161290322581,0.27734156857066283
0.6666666666666666,0.7125,0.27848101265822783,0.21252315316172096,0.1746031746031746,0.6875,0.6645161290322581,0.28959722902347934
0.5380116959064327,0.6403225806451612,0.23300970873786406,0.15503109902642903,0.13793103448275862,0.75,0.5161290322580645,0.19658762414024544
0.8654970760233918,0.6917494270435447,0.34285714285714286,0.2681425328462069,0.3333333333333333,0.35294117647058826,0.922077922077922,0.685844824899695
0.8011695906432749,0.6205645161290322,0.26086956521739135,0.16857633925054027,0.2,0.375,0.8451612903225807,0.5279402054262247
0.8187134502923976,0.744758064516129,0.3404255319148936,0.2657943713419727,0.25806451612903225,0.5,0.8516129032258064,0.5399547403287108
0.7192982456140351,0.5516129032258065,0.19999999999999998,0.0864971568627228,0.13636363636363635,0.375,0.7548387096774194,0.36854044637641414
0.5321637426900585,0.6665322580645161,0.23076923076923075,0.15131418558090154,0.13636363636363635,0.75,0.5096774193548387,0.16703790878105554
0.7309941520467836,0.728418640183346,0.3235294117647059,0.25332463339105504,0.21568627450980393,0.6470588235294118,0.7402597402597403,0.48226677423902736
0.6900584795321637,0.769758064516129,0.3116883116883117,0.26376986121540125,0.19672131147540983,0.75,0.6838709677419355,0.2738001120018946
0.7076023391812866,0.7209677419354839,0.3055555555555555,0.24647192464324863,0.19642857142857142,0.6875,0.7096774193548387,0.2923562435544096
0.847953216374269,0.614516129032258,0.2777777777777778,0.19548996557267823,0.25,0.3125,0.9032258064516129,0.697855615706049
0.5497076023391813,0.644758064516129,0.23762376237623764,0.16252552049654773,0.1411764705882353,0.75,0.5290322580645161,0.24873916105789495
0.5087719298245614,0.6462948815889993,0.2222222222222222,0.11567536202099624,0.13186813186813187,0.7058823529411765,0.487012987012987,0.15996871403076435
0.9005847953216374,0.6697580645161291,0.3703703703703703,0.32500317221551334,0.45454545454545453,0.3125,0.9612903225806452,0.7506146368742576
0.6491228070175439,0.6637096774193548,0.25,0.1664624949044924,0.15625,0.625,0.6516129032258065,0.4235833049461858
0.7309941520467836,0.6620967741935484,0.25806451612903225,0.16736217666103084,0.17391304347826086,0.5,0.7548387096774194,0.5769877875496066
0.8771929824561403,0.5439516129032258,0.2222222222222222,0.16130496176233874,0.2727272727272727,0.1875,0.9483870967741935,0.8018238909388581
0.5497076023391813,0.6546982429335371,0.2376237623762376,0.14265943485606897,0.14285714285714285,0.7058823529411765,0.5324675324675324,0.15191303771232129
0.6900584795321637,0.8245967741935484,0.345679012345679,0.32755423056259714,0.2153846153846154,0.875,0.6709677419354839,0.3031142082435132
0.4269005847953216,0.6016129032258064,0.19672131147540986,0.08612208720848197,0.11320754716981132,0.75,0.3935483870967742,0.12397699402321094
0.9181286549707602,0.5971774193548387,0.3,0.34884481263603634,0.75,0.1875,0.9935483870967742,0.9154036236437438
0.6432748538011696,0.6584677419354839,0.2469135802469136,0.1620837034541655,0.15384615384615385,0.625,0.6451612903225806,0.3518073201617831
0.6549707602339181,0.5511841100076394,0.1917808219178082,0.0596675670178087,0.125,0.4117647058823529,0.6818181818181818,0.3298284265599006
0.45614035087719296,0.7193548387096774,0.23140495867768596,0.1722287914323284,0.13333333333333333,0.875,0.4129032258064516,0.21330663741148062
0.42105263157894735,0.6576612903225807,0.22047244094488186,0.15206368830455433,0.12612612612612611,0.875,0.3741935483870968,0.10285307990880213
0.6198830409356725,0.7915322580645162,0.2857142857142857,0.24209373184781138,0.17333333333333334,0.8125,0.6,0.33330140419493265
0.8187134502923976,0.6713709677419354,0.3404255319148936,0.2657943713419727,0.25806451612903225,0.5,0.8516129032258064,0.572404108616749
0.7251461988304093,0.618411000763942,0.25396825396825395,0.15103544259253124,0.17391304347826086,0.47058823529411764,0.7532467532467533,0.4346628010766969
0.7894736842105263,0.6770161290322582,0.28,0.19212664490408626,0.20588235294117646,0.4375,0.8258064516129032,0.4808976460101116
0.5087719298245614,0.6104838709677419,0.22222222222222218,0.13661383842411862,0.13043478260869565,0.75,0.4838709677419355,0.3218156415572511
0.6900584795321637,0.7040322580645162,0.29333333333333333,0.2314614840384863,0.1864406779661017,0.6875,0.6903225806451613,0.22458367004449015
0.3391812865497076,0.6254032258064517,0.2097902097902098,0.14317697083177408,0.11811023622047244,0.9375,0.27741935483870966,0.12900961281728243
0.7602339181286549,0.7234530175706646,0.34920634920634924,0.2832558897767779,0.2391304347826087,0.6470588235294118,0.7727272727272727,0.6373840742797339
0.5614035087719298,0.6217741935483871,0.2105263157894737,0.10505133092613259,0.12658227848101267,0.625,0.5548387096774193,0.305819100928204
0.6198830409356725,0.7979838709677419,0.30107526881720426,0.27426538464906,0.18181818181818182,0.875,0.5935483870967742,0.18962637202077884
0.6900584795321637,0.7705645161290323,0.3116883116883117,0.26376986121540125,0.19672131147540983,0.75,0.6838709677419355,0.3270072702861135
0.7485380116959064,0.5915322580645161,0.2181818181818182,0.11250736246806034,0.15384615384615385,0.375,0.7870967741935484,0.4436228001350059
0.7894736842105263,0.6310160427807487,0.33333333333333337,0.2525825305466617,0.24324324324324326,0.5294117647058824,0.8181818181818182,0.5363183277814747
